tweet,date,city,user_location,id,link
"#Giro | -60 Km: Pellaud y Gabburo salieron en fuga del pelotón, sacándoles 1:16 y aceleran para el último punto de sprint [EN VIVO] #EnVivo https://t.co/87BnZr23FR",2021-05-12 14:18:10,Bogotá,Bogotá - Colombia,1392484246418231305,https://twitter.com/i/web/status/1392484246418231305
"#Giro | -70 Km: Cuatro equipos se organizan al frente del pelotón, que son el BikeExchange, Israel Start Up Nation, Bahrain Victorious y Bora [EN VIVO] #EnVivo https://t.co/Iy1my4AuPW",2021-05-12 14:08:13,Bogotá,Bogotá - Colombia,1392481743039520777,https://twitter.com/i/web/status/1392481743039520777
"#Giro | -80 Km: Todo tranquilo en el pelotón, sin intentos de fuga y ningún equipo se pone al frente [EN VIVO] #EnVivo https://t.co/XsrtQlQlko",2021-05-12 13:52:02,Bogotá,Bogotá - Colombia,1392477672488460291,https://twitter.com/i/web/status/1392477672488460291
"#NuestroCiclismo 

La fuga fue neutralizada y se espera una emocionante definición en el embalaje. No se pierda ningún detalle en https://t.co/CaEIaCFaXL 

#DeportesRCN https://t.co/M0Rilq2WV9",2021-05-12 13:48:39,Bogotá,"Bogotá, Colombia",1392476819509719042,https://twitter.com/i/web/status/1392476819509719042
"#Giro | -90 Km: El pelotón empezó a acelerar, con el INEOS y el Deceuninck al frente para cerrarle espacio a nuevo fugados [EN VIVO] #EnVivo https://t.co/FG9SYFMqmU",2021-05-12 13:42:11,Bogotá,Bogotá - Colombia,1392475193034035201,https://twitter.com/i/web/status/1392475193034035201
"#Giro | -106 Km: Tagliani se quedó con el punto de sprint intermedio, justo antes de que fuera cazado por la fuga junto a Marenga [EN VIVO] #EnVivo https://t.co/czYo54oH2h",2021-05-12 13:20:02,Bogotá,Bogotá - Colombia,1392469620234260483,https://twitter.com/i/web/status/1392469620234260483
#Giro | -110 Km: Los dos fugados se acercan al primer punto de sprint intermedio y el pelotón persigue a 1:47 [EN VIVO] #EnVivo https://t.co/eVho1MTT0t,2021-05-12 13:15:03,Bogotá,Bogotá - Colombia,1392468363943849991,https://twitter.com/i/web/status/1392468363943849991
"🚨¡Estamos al aire!
🗞️Convocados de Once Caldas a la Selección Colombia Sub 20
🏆Copa Libertadores y Sudamericana
🚴‍♀️Quinta etapa del Giro de Italia
⚽️Modificaciones de Dimayor en la Liga y Torneo BetPlay
🤩¡Bienvenidos!
https://t.co/JnCXWKzGf0",2021-05-12 13:04:18,Bogotá,"Manizales, Caldas",1392465660706439177,https://twitter.com/i/web/status/1392465660706439177
"#Giro | -120 Km: El plan de UAE es lanzar a Fernando Gaviria en los último kilómetros, con la ayuda de Molano y Richeze [EN VIVO] #EnVivo https://t.co/0wuZETgw1Y",2021-05-12 12:55:02,Bogotá,Bogotá - Colombia,1392463325955506178,https://twitter.com/i/web/status/1392463325955506178
"#NuestroCiclismo 

¿Se le dará a Gaviria? En una etapa plana y en la que aún restan 120 kilómetros, el grupo de escapados saca 5'22"" de diferencia sobre el pelotón y todavía no se sabe cómo terminará. No se pierda ningún detalle en https://t.co/CaEIaCFaXL 

#DeportesRCN",2021-05-12 12:49:47,Bogotá,"Bogotá, Colombia",1392462007492825090,https://twitter.com/i/web/status/1392462007492825090
